datetime,city,state,country,shape,summary,report_date
05/06/2024 21:00,05/06/2024 21:00,Charlotte,NC,USA,Circle,The red orbs were circling and chasing Aircraft taking off from the Charlotte Douglas Airport
05/06/2024 16:30,05/06/2024 16:30,Goshen,CT,USA,Cylinder,"Observed while driving westbound on CT Route 4 at the intersection of East St North, black cylindrical-shaped object, completely still."
05/06/2024 16:04,05/06/2024 16:04,Mountain View,CA,USA,Cylinder,Filmed an object in broad daylight that I do not understand
05/06/2024 13:16,05/06/2024 13:16,Good Hope Lake,BC,Canada,Changing,"One was hovering on mt pendelton at dusk , has a hook below it , several responded to our strobe light"
05/05/2024 21:15,05/05/2024 21:15,Jacksonville,FL,USA,Formation,"Several lights on arched trajectory, staying in place before quickly accelerating away"
05/05/2024 20:47,05/05/2024 20:47,Los Angeles,CA,USA,Orb,"I saw the light when I was in my backyard just on my phone, it was zooming in the sky from the east to west."
05/05/2024 13:48,05/05/2024 13:48,Clovis,CA,USA,Circle,Object no sound traveling fast
05/05/2024 02:40,05/05/2024 02:40,,GA,USA,Light,"Object with no strobes, characteristic of a light bulb on a dimmer switch, stationary."
05/04/2024 22:45,05/04/2024 22:45,Fort Wayne,IN,USA,Sphere,"We saw a bright, stationary object in the sky."
05/04/2024 21:30,05/04/2024 21:30,Alpharetta,GA,USA,Other,15-20 lights. Straight line.7000’ high. Maybe 1 mile length
05/04/2024 21:00,05/04/2024 21:00,Broomfield,CO,USA,Cylinder,"Floating slowly at 800', east to west, then south, no lights or sound. Steady altitude"
05/04/2024 20:24,05/04/2024 20:24,Sarasota,FL,USA,Other,Gray bell shaped object spotted flying
05/04/2024 19:10,05/04/2024 19:10,Mangaluru,Karnataka,India,Light,Bright light object looked like a satellite. Moving at the speed of a satellite. But irregular patterns
05/04/2024 18:54,05/04/2024 18:54,,CO,USA,Other,Something caught my attention
05/04/2024 04:30,05/04/2024 04:30,Mathiston,MS,USA,Circle,lights shooting across sky in perfect sync. Unidentified by radars.
05/03/2024 23:37,05/03/2024 23:37,Ann Arbor,MI,USA,Fireball,We saw a glowing blue green fireball travel across the night sky
05/03/2024 23:35,05/03/2024 23:35,Detroit,MI,USA,Light,"The ufo moved very fast, change direct, then quickly moved away at a steeper angle"
05/03/2024 23:30,05/03/2024 23:30,Noblesville,IN,USA,Circle,Green Circle/Oval Witness in Sky Zooms Quickly Away in Noblesville Indiana
05/03/2024 23:00,05/03/2024 23:00,Greenfield,NH,USA,Orb,"Slow moving objects suddenly glew extremely bright, dimmed, then continued WNW on a non elliptical path"
05/03/2024 21:39,05/03/2024 21:39,Lafayette,LA,USA,Orb,Driving northwest at the corner of Kaliste Saloom Rd and Kensington looked up and saw a string of about 9 orbs in a straight line
05/03/2024 13:40,05/03/2024 13:40,Carolina,Carolina,Puerto Rico,Unknown,"Small object was caught flying during a slow motion recording of the lightning, the object flew very fast going south."
05/03/2024 10:15,05/03/2024 10:15,Myrtle Beach,SC,USA,Cylinder,It was flying away from airport and looked like very small craft but quickly disappeared into space. Very cloudy above it but I quickly
05/03/2024 08:30,05/03/2024 08:30,,Corrientes,USA,Circle,Wheel shaped orbs w/stationary central axis w/strobelike activity emanating from axis 2perimeter triangular formation yellowglow BluSky
05/03/2024 05:14,05/03/2024 05:14,Clayton,NC,USA,Orb,Multiple orbs floating in the sky moving around silently
05/02/2024 22:10,05/02/2024 22:10,Glendale,UT,USA,Unknown,"A bright light appeared over the horizon, came toward us, and then disappeared overhead. It then reappeared across the valley."
05/02/2024 22:08,05/02/2024 22:08,Cliff,NM,USA,Light,Large bright white light
05/02/2024 21:20,05/02/2024 21:20,Rio Verde,AZ,USA,Orb,Large orb like luminous mist moved across the sky
05/02/2024 21:16,05/02/2024 21:16,Barstow,CA,USA,Other,Unlike anything I have seen.
05/02/2024 21:15,05/02/2024 21:15,Hemet,CA,USA,Cone,Saw object with cone shaped lights emanating from the sides of the object
05/02/2024 21:10,05/02/2024 21:10,Tempe,AZ,USA,Sphere,Slight illumination that went to a sold almost invisible black
05/02/2024 21:10,05/02/2024 21:10,Morristown,AZ,USA,Circle,"Light coming from the west going east, when it came closer it appeared to look like a blurry cloud of light."
05/02/2024 21:07,05/02/2024 21:07,Wittmann,AZ,USA,Orb,Light was overwhelmingly large for the location in the Sky. Began to Fade out and just dissapeared
